Energy_Wh,raw_voltage_mean,isotonic_voltage
138.3172,30.987,30.983666666666664
138.5403,30.987,30.983666666666664
138.7675,30.977,30.982
138.9944,30.967,30.982
139.2181,30.997,30.982
139.4453,30.977,30.982
139.6687,30.987,30.982
139.8918,30.987,30.982
140.119,30.977,30.977
140.3458,30.967,30.973666666666663
140.5688,30.977,30.973666666666663
140.7919,30.977,30.973666666666663
141.0145,30.967,30.966999999999995
141.2377,30.967,30.966999999999995
141.4647,30.947,30.966999999999995
141.6877,30.977,30.966999999999995
141.9108,30.977,30.966999999999995
142.1334,30.967,30.966999999999995
142.3566,30.967,30.966999999999995
142.5836,30.947,30.947
142.8106,30.947,30.947
143.0372,30.937,30.942
143.2598,30.947,30.942
143.486,30.927,30.94033333333333
143.7088,30.947,30.94033333333333
143.9316,30.937,30.94033333333333
144.1586,30.947,30.94033333333333
144.3852,30.937,30.94033333333333
144.6077,30.947,30.94033333333333
144.834,30.927,30.937
145.0568,30.947,30.937
145.2795,30.937,30.937
145.5017,30.937,30.937
145.7241,30.937,30.937
145.9468,30.927,30.928999999999995
146.1695,30.927,30.928999999999995
146.392,30.917,30.928999999999995
146.6142,30.937,30.928999999999995
146.8367,30.937,30.928999999999995
147.0593,30.927,30.927
147.282,30.927,30.927
147.5046,30.917,30.917
147.731,30.907,30.912
147.9533,30.917,30.912
148.1755,30.907,30.907
148.3975,30.907,30.907
148.6196,30.897,30.90533333333333
148.8415,30.897,30.90533333333333
149.0679,30.907,30.90533333333333
149.2902,30.917,30.90533333333333
149.5124,30.907,30.90533333333333
149.7344,30.907,30.90533333333333
149.9565,30.897,30.897
150.1784,30.897,30.897
150.4002,30.887,30.887
150.6223,30.887,30.887
150.8444,30.887,30.887
151.0664,30.877,30.883
151.2884,30.877,30.883
151.5103,30.887,30.883
151.7323,30.887,30.883
151.9544,30.887,30.883
152.1764,30.877,30.877
152.3985,30.877,30.877
152.6201,30.867,30.867
152.8459,30.857,30.862000000000002
153.0676,30.867,30.862000000000002
153.2889,30.857,30.858666666666664
153.5105,30.857,30.858666666666664
153.732,30.847,30.858666666666664
153.9537,30.867,30.858666666666664
154.1794,30.857,30.858666666666664
154.4011,30.867,30.858666666666664
154.6224,30.857,30.857
154.844,30.857,30.857
155.0655,30.847,30.847
155.2868,30.847,30.847
155.5079,30.837,30.837
155.7294,30.837,30.837
155.9543,30.816,30.832800000000002
156.1754,30.827,30.832800000000002
156.3967,30.847,30.832800000000002
156.6178,30.837,30.832800000000002
156.8393,30.837,30.832800000000002
157.0642,30.816,30.823333333333334
157.2853,30.827,30.823333333333334
157.5067,30.827,30.823333333333334
157.728,30.816,30.816
157.9498,30.806,30.807833333333335
158.1737,30.796,30.807833333333335
